trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime
B2,0,,08:23:29,2024-07-31,3
C1,0,,08:23:33,2024-07-31,3
B3,0,,08:23:34,2024-07-31,3
C2,0,,08:23:38,2024-07-31,3
B4,0,,08:23:39,2024-07-31,3
C3,0,,08:23:43,2024-07-31,3
B1,0,,08:23:44,2024-07-31,3
D3,195,30,08:23:46,2024-07-31,50
C4,0,,08:23:48,2024-07-31,3
B2,14,,08:23:49,2024-07-31,7
C1,59,,08:23:53,2024-07-31,30
B3,0,,08:23:58,2024-07-31,3
B4,0,,08:24:03,2024-07-31,3
B1,0,,08:24:08,2024-07-31,3
A3,198,30,08:24:13,2024-07-31,50
B2,0,,08:24:13,2024-07-31,3
B3,20,,08:24:18,2024-07-31,10
C2,0,,08:24:25,2024-07-31,3
B4,0,,08:24:30,2024-07-31,3
C3,0,,08:24:30,2024-07-31,3
B1,0,,08:24:35,2024-07-31,3
C4,0,,08:24:35,2024-07-31,3
D4,141,30,08:24:39,2024-07-31,50
B2,80,,08:24:40,2024-07-31,40
C1,0,,08:24:40,2024-07-31,3
C2,0,,08:24:45,2024-07-31,3
C3,0,,08:24:50,2024-07-31,3
C4,0,,08:24:55,2024-07-31,3
C1,0,,08:25:00,2024-07-31,3
C2,0,,08:25:05,2024-07-31,3
A4,57,30,08:25:06,2024-07-31,50
C3,0,,08:25:10,2024-07-31,3
C4,20,,08:25:15,2024-07-31,10
B3,80,,08:25:23,2024-07-31,40
C1,0,,08:25:27,2024-07-31,3
C2,0,,08:25:32,2024-07-31,3
D1,98,30,08:25:33,2024-07-31,50
C3,0,,08:25:37,2024-07-31,3
C4,0,,08:25:42,2024-07-31,3
C1,0,,08:25:47,2024-07-31,3
C2,0,,08:25:52,2024-07-31,3
C3,0,,08:25:57,2024-07-31,3
A1,178,30,08:26:00,2024-07-31,50
C4,80,,08:26:02,2024-07-31,40
B4,0,,08:26:05,2024-07-31,3
B1,0,,08:26:10,2024-07-31,3
B2,20,,08:26:15,2024-07-31,10
D2,156,30,08:26:26,2024-07-31,50
B3,0,,08:26:27,2024-07-31,3
B4,0,,08:26:32,2024-07-31,3
B1,0,,08:26:37,2024-07-31,3
B2,0,,08:26:42,2024-07-31,3
C1,20,,08:26:44,2024-07-31,10
B3,0,,08:26:47,2024-07-31,3
A2,25,30,08:26:52,2024-07-31,50
B4,0,,08:26:52,2024-07-31,3
C2,0,,08:26:56,2024-07-31,3
B1,0,,08:26:57,2024-07-31,3
C3,0,,08:27:01,2024-07-31,3
B2,0,,08:27:02,2024-07-31,3
C4,20,,08:27:06,2024-07-31,10
B3,0,,08:27:07,2024-07-31,3
B4,0,,08:27:12,2024-07-31,3
B1,0,,08:27:17,2024-07-31,3
C1,0,,08:27:18,2024-07-31,3
D3,78,30,08:27:19,2024-07-31,50
B2,20,,08:27:22,2024-07-31,10
C2,0,,08:27:23,2024-07-31,3
C3,0,,08:27:28,2024-07-31,3
C4,0,,08:27:33,2024-07-31,3
B3,0,,08:27:34,2024-07-31,3
C1,0,,08:27:38,2024-07-31,3
