trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime
A1,47,33,04:16:14,2024-08-01,24
B1,96,33,04:16:14,2024-08-01,48
C1,0,33,04:16:14,2024-08-01,3
D1,0,33,04:16:14,2024-08-01,3
C2,5,33,04:16:19,2024-08-01,3
D2,0,33,04:16:19,2024-08-01,3
C3,60,33,04:16:24,2024-08-01,30
D3,47,33,04:16:24,2024-08-01,24
A2,24,33,04:16:40,2024-08-01,12
D4,61,33,04:16:50,2024-08-01,31
A3,1,33,04:16:54,2024-08-01,3
C4,1,33,04:16:56,2024-08-01,3
A4,0,33,04:16:59,2024-08-01,3
C1,0,33,04:17:01,2024-08-01,3
A1,28,33,04:17:04,2024-08-01,14
B2,0,33,04:17:04,2024-08-01,3
C2,39,33,04:17:06,2024-08-01,20
B3,1,33,04:17:09,2024-08-01,3
B4,43,33,04:17:14,2024-08-01,22
A2,13,33,04:17:20,2024-08-01,7
D1,0,33,04:17:23,2024-08-01,3
C3,85,33,04:17:28,2024-08-01,43
D2,17,33,04:17:28,2024-08-01,9
A3,48,33,04:17:29,2024-08-01,24
B1,71,33,04:17:38,2024-08-01,36
D3,72,33,04:17:39,2024-08-01,36
A4,20,33,04:17:56,2024-08-01,10
A1,80,33,04:18:08,2024-08-01,40
C4,59,33,04:18:13,2024-08-01,30
B2,45,33,04:18:16,2024-08-01,23
D4,21,33,04:18:17,2024-08-01,11
D1,85,33,04:18:30,2024-08-01,43
B3,53,33,04:18:41,2024-08-01,27
C1,78,33,04:18:45,2024-08-01,39
A2,2,33,04:18:50,2024-08-01,3
A3,76,33,04:18:55,2024-08-01,38
B4,26,33,04:19:10,2024-08-01,13
D2,49,33,04:19:15,2024-08-01,25
B1,49,33,04:19:25,2024-08-01,25
C2,17,33,04:19:26,2024-08-01,9
A4,14,33,04:19:35,2024-08-01,7
C3,35,33,04:19:37,2024-08-01,18
D3,99,33,04:19:42,2024-08-01,50
A1,115,33,04:19:44,2024-08-01,50
B2,20,33,04:19:52,2024-08-01,10
C4,51,33,04:19:57,2024-08-01,26
B3,14,33,04:20:04,2024-08-01,3
B4,64,33,04:20:09,2024-08-01,32
C1,49,33,04:20:25,2024-08-01,25
D4,43,33,04:20:34,2024-08-01,22
A2,68,33,04:20:36,2024-08-01,34
B1,95,33,04:20:43,2024-08-01,48
C2,108,33,04:20:53,2024-08-01,50
D1,102,33,04:20:58,2024-08-01,50
A3,41,33,04:21:12,2024-08-01,21
B2,37,33,04:21:34,2024-08-01,19
A4,82,33,04:21:36,2024-08-01,41
C3,2,33,04:21:45,2024-08-01,3
C4,55,33,04:21:50,2024-08-01,28
D2,51,33,04:21:50,2024-08-01,26
B3,98,33,04:21:55,2024-08-01,49
D3,8,33,04:22:18,2024-08-01,4
A1,91,33,04:22:19,2024-08-01,50
C1,93,33,04:22:20,2024-08-01,47
D4,110,33,04:22:25,2024-08-01,50
B4,101,33,04:22:46,2024-08-01,50
C2,37,33,04:23:09,2024-08-01,23
A2,22,33,04:23:11,2024-08-01,11
D1,108,33,04:23:17,2024-08-01,50
A3,35,33,04:23:24,2024-08-01,18
C3,45,33,04:23:34,2024-08-01,23
B1,104,33,04:23:38,2024-08-01,50
A4,20,33,04:23:44,2024-08-01,10
A1,55,33,04:23:56,2024-08-01,31
C4,101,33,04:23:59,2024-08-01,50
D2,88,33,04:24:09,2024-08-01,44
A2,76,33,04:24:29,2024-08-01,38
B2,52,33,04:24:30,2024-08-01,26
C1,101,33,04:24:51,2024-08-01,50
D3,18,33,04:24:55,2024-08-01,9
B3,46,33,04:24:58,2024-08-01,23
D4,67,33,04:25:06,2024-08-01,39
A3,45,33,04:25:09,2024-08-01,23
B4,64,33,04:25:23,2024-08-01,33
A4,100,33,04:25:34,2024-08-01,50
C2,109,33,04:25:43,2024-08-01,50
D1,118,33,04:25:47,2024-08-01,50
B1,55,33,04:25:58,2024-08-01,30
A1,116,33,04:26:26,2024-08-01,50
B2,85,33,04:26:30,2024-08-01,43
C3,116,33,04:26:35,2024-08-01,50
D2,20,33,04:26:39,2024-08-01,10
D3,15,33,04:26:51,2024-08-01,8
D4,90,33,04:27:01,2024-08-01,45
B3,48,33,04:27:15,2024-08-01,24
A2,79,33,04:27:18,2024-08-01,40
C4,106,33,04:27:27,2024-08-01,50
B4,7,33,04:27:41,2024-08-01,4
B1,54,33,04:27:47,2024-08-01,27
D1,96,33,04:27:48,2024-08-01,48
A3,100,33,04:28:00,2024-08-01,50
B2,20,33,04:28:16,2024-08-01,10
C1,165,33,04:28:19,2024-08-01,50
B3,18,33,04:28:28,2024-08-01,9
D2,100,33,04:28:38,2024-08-01,50
B4,54,33,04:28:39,2024-08-01,27
A4,101,33,04:28:52,2024-08-01,50
B1,40,33,04:29:08,2024-08-01,20
C2,23,33,04:29:11,2024-08-01,16
C3,25,33,04:29:29,2024-08-01,21
B2,84,33,04:29:30,2024-08-01,42
D3,23,33,04:29:30,2024-08-01,12
D4,88,33,04:29:44,2024-08-01,44
A1,69,33,04:29:45,2024-08-01,43
C4,100,33,04:29:52,2024-08-01,50
B3,39,33,04:30:15,2024-08-01,20
A2,73,33,04:30:30,2024-08-01,37
D1,89,33,04:30:30,2024-08-01,45
B4,14,33,04:30:37,2024-08-01,7
C1,101,33,04:30:44,2024-08-01,50
B1,62,33,04:30:46,2024-08-01,31
A3,59,33,04:31:09,2024-08-01,30
D2,53,33,04:31:17,2024-08-01,27
B2,17,33,04:31:19,2024-08-01,9
B3,17,33,04:31:30,2024-08-01,9
C2,96,33,04:31:36,2024-08-01,48
A4,74,33,04:31:41,2024-08-01,37
B4,53,33,04:31:41,2024-08-01,27
D3,23,33,04:31:46,2024-08-01,12
D4,106,33,04:32:00,2024-08-01,50
B1,89,33,04:32:10,2024-08-01,45
A1,54,33,04:32:20,2024-08-01,27
C3,70,33,04:32:26,2024-08-01,35
A2,66,33,04:32:49,2024-08-01,33
D1,69,33,04:32:52,2024-08-01,35
B2,75,33,04:32:57,2024-08-01,38
C4,98,33,04:33:03,2024-08-01,49
A3,19,33,04:33:24,2024-08-01,10
D2,96,33,04:33:29,2024-08-01,48
A4,61,33,04:33:36,2024-08-01,31
B3,49,33,04:33:37,2024-08-01,25
C1,157,33,04:33:54,2024-08-01,50
B4,32,33,04:34:04,2024-08-01,16
A1,45,33,04:34:09,2024-08-01,23
D3,30,33,04:34:19,2024-08-01,15
B1,47,33,04:34:22,2024-08-01,24
A2,18,33,04:34:34,2024-08-01,9
D4,55,33,04:34:36,2024-08-01,31
A3,20,33,04:34:45,2024-08-01,10
C2,68,33,04:34:46,2024-08-01,34
B2,67,33,04:34:48,2024-08-01,34
A4,35,33,04:34:57,2024-08-01,18
D1,64,33,04:35:10,2024-08-01,32
A1,113,33,04:35:17,2024-08-01,50
C3,32,33,04:35:23,2024-08-01,16
B3,44,33,04:35:24,2024-08-01,22
C4,153,33,04:35:41,2024-08-01,50
D2,30,33,04:35:44,2024-08-01,15
B4,0,33,04:35:48,2024-08-01,3
B1,1,33,04:35:53,2024-08-01,3
B2,4,33,04:35:58,2024-08-01,3
D3,113,33,04:36:01,2024-08-01,50
