trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime
A1,4,33,23:59:10,2024-07-31,3
B1,45,33,23:59:10,2024-07-31,23
C1,0,33,23:59:10,2024-07-31,3
D1,0,33,23:59:10,2024-07-31,3
A2,71,33,23:59:15,2024-07-31,36
C2,93,33,23:59:15,2024-07-31,47
D2,0,33,23:59:15,2024-07-31,3
D3,94,33,23:59:20,2024-07-31,47
B2,0,33,23:59:35,2024-07-31,3
B3,0,33,23:59:40,2024-07-31,3
B4,111,33,23:59:45,2024-07-31,50
A3,0,33,23:59:53,2024-07-31,3
A4,0,33,23:59:58,2024-07-31,3
A1,39,33,00:00:03,2024-08-01,20
C3,68,33,00:00:04,2024-08-01,34
D4,50,33,00:00:09,2024-08-01,25
A2,49,33,00:00:25,2024-08-01,25
D1,37,33,00:00:36,2024-08-01,19
B1,31,33,00:00:37,2024-08-01,16
C4,19,33,00:00:40,2024-08-01,10
A3,18,33,00:00:52,2024-08-01,9
C1,19,33,00:00:52,2024-08-01,10
B2,67,33,00:00:55,2024-08-01,34
D2,76,33,00:00:57,2024-08-01,38
A4,10,33,00:01:03,2024-08-01,5
C2,43,33,00:01:04,2024-08-01,22
A1,108,33,00:01:10,2024-08-01,50
C3,64,33,00:01:28,2024-08-01,32
B3,86,33,00:01:31,2024-08-01,43
D3,1,33,00:01:37,2024-08-01,3
D4,18,33,00:01:42,2024-08-01,9
D1,45,33,00:01:53,2024-08-01,23
A2,60,33,00:02:02,2024-08-01,30
C4,47,33,00:02:02,2024-08-01,24
B4,40,33,00:02:16,2024-08-01,26
D2,35,33,00:02:18,2024-08-01,18
C1,28,33,00:02:28,2024-08-01,14
A3,117,33,00:02:34,2024-08-01,50
D3,16,33,00:02:38,2024-08-01,8
B1,116,33,00:02:44,2024-08-01,50
C2,56,33,00:02:44,2024-08-01,28
D4,62,33,00:02:48,2024-08-01,31
C3,87,33,00:03:14,2024-08-01,44
D1,10,33,00:03:21,2024-08-01,5
A4,67,33,00:03:26,2024-08-01,34
D2,20,33,00:03:28,2024-08-01,10
B2,78,33,00:03:36,2024-08-01,39
D3,83,33,00:03:40,2024-08-01,42
C4,67,33,00:04:00,2024-08-01,34
A1,48,33,00:04:02,2024-08-01,28
B3,50,33,00:04:17,2024-08-01,25
D4,40,33,00:04:24,2024-08-01,20
A2,14,33,00:04:32,2024-08-01,7
C1,33,33,00:04:36,2024-08-01,17
A3,110,33,00:04:41,2024-08-01,50
B4,50,33,00:04:44,2024-08-01,25
D1,99,33,00:04:46,2024-08-01,50
C2,62,33,00:04:55,2024-08-01,31
B1,72,33,00:05:11,2024-08-01,44
C3,105,33,00:05:28,2024-08-01,50
A4,30,33,00:05:33,2024-08-01,15
D2,67,33,00:05:38,2024-08-01,34
A1,17,33,00:05:50,2024-08-01,9
B2,22,33,00:05:57,2024-08-01,11
A2,40,33,00:06:01,2024-08-01,20
B3,75,33,00:06:10,2024-08-01,38
D3,68,33,00:06:14,2024-08-01,34
C4,68,33,00:06:20,2024-08-01,34
A3,35,33,00:06:23,2024-08-01,18
A4,17,33,00:06:43,2024-08-01,9
B4,2,33,00:06:50,2024-08-01,3
D4,29,33,00:06:50,2024-08-01,15
A1,104,33,00:06:54,2024-08-01,50
B1,11,33,00:06:55,2024-08-01,6
C1,82,33,00:06:56,2024-08-01,41
B2,35,33,00:07:03,2024-08-01,18
D1,88,33,00:07:07,2024-08-01,44
B3,54,33,00:07:23,2024-08-01,27
C2,22,33,00:07:39,2024-08-01,11
A2,107,33,00:07:46,2024-08-01,50
B4,56,33,00:07:52,2024-08-01,28
C3,94,33,00:07:52,2024-08-01,50
D2,36,33,00:07:53,2024-08-01,18
D3,106,33,00:08:13,2024-08-01,50
B1,81,33,00:08:22,2024-08-01,41
A3,97,33,00:08:38,2024-08-01,49
C4,57,33,00:08:44,2024-08-01,29
B2,20,33,00:09:05,2024-08-01,10
D4,76,33,00:09:05,2024-08-01,38
C1,100,33,00:09:15,2024-08-01,50
B3,10,33,00:09:17,2024-08-01,5
B4,44,33,00:09:24,2024-08-01,22
A4,81,33,00:09:29,2024-08-01,41
D1,102,33,00:09:45,2024-08-01,50
B1,73,33,00:09:48,2024-08-01,37
C2,31,33,00:10:07,2024-08-01,16
A1,87,33,00:10:12,2024-08-01,46
C3,14,33,00:10:25,2024-08-01,7
B2,20,33,00:10:27,2024-08-01,10
C4,80,33,00:10:34,2024-08-01,40
D2,57,33,00:10:37,2024-08-01,29
B3,95,33,00:10:39,2024-08-01,48
A2,25,33,00:11:00,2024-08-01,16
D3,118,33,00:11:08,2024-08-01,50
C1,20,33,00:11:16,2024-08-01,10
A3,105,33,00:11:18,2024-08-01,50
C2,30,33,00:11:28,2024-08-01,15
B4,106,33,00:11:29,2024-08-01,50
C3,68,33,00:11:45,2024-08-01,34
D4,82,33,00:12:00,2024-08-01,41
A4,68,33,00:12:10,2024-08-01,34
B1,92,33,00:12:21,2024-08-01,46
C4,0,33,00:12:21,2024-08-01,3
C1,79,33,00:12:26,2024-08-01,40
D1,73,33,00:12:43,2024-08-01,37
A1,93,33,00:12:46,2024-08-01,47
C2,35,33,00:13:08,2024-08-01,18
B2,63,33,00:13:09,2024-08-01,32
D2,41,33,00:13:22,2024-08-01,21
C3,93,33,00:13:28,2024-08-01,47
A2,50,33,00:13:35,2024-08-01,25
B3,112,33,00:13:43,2024-08-01,50
D3,113,33,00:13:45,2024-08-01,50
A3,93,33,00:14:02,2024-08-01,47
C4,103,33,00:14:17,2024-08-01,50
B4,53,33,00:14:35,2024-08-01,30
D4,68,33,00:14:37,2024-08-01,34
A4,98,33,00:14:51,2024-08-01,49
B1,50,33,00:15:07,2024-08-01,25
C1,98,33,00:15:09,2024-08-01,49
D1,85,33,00:15:13,2024-08-01,43
B2,78,33,00:15:34,2024-08-01,39
A1,112,33,00:15:42,2024-08-01,50
D2,46,33,00:15:58,2024-08-01,23
C2,76,33,00:16:00,2024-08-01,38
B3,116,33,00:16:15,2024-08-01,50
D3,60,33,00:16:23,2024-08-01,49
A2,17,33,00:16:34,2024-08-01,9
C3,105,33,00:16:40,2024-08-01,50
A3,88,33,00:16:45,2024-08-01,44
B4,33,33,00:17:07,2024-08-01,17
D4,105,33,00:17:14,2024-08-01,50
B1,47,33,00:17:26,2024-08-01,24
A4,76,33,00:17:31,2024-08-01,38
C4,96,33,00:17:32,2024-08-01,48
B2,34,33,00:17:52,2024-08-01,17
D1,61,33,00:18:06,2024-08-01,31
A1,71,33,00:18:11,2024-08-01,42
B3,103,33,00:18:11,2024-08-01,50
C1,103,33,00:18:22,2024-08-01,50
D2,99,33,00:18:39,2024-08-01,50
A2,61,33,00:18:55,2024-08-01,31
B4,37,33,00:19:03,2024-08-01,19
C2,26,33,00:19:14,2024-08-01,13
B1,59,33,00:19:24,2024-08-01,30
A3,103,33,00:19:28,2024-08-01,50
C3,118,33,00:19:29,2024-08-01,50
D3,5,33,00:19:31,2024-08-01,3
D4,33,33,00:19:36,2024-08-01,19
B2,65,33,00:19:56,2024-08-01,33
D1,17,33,00:19:57,2024-08-01,9
D2,40,33,00:20:08,2024-08-01,20
A4,82,33,00:20:20,2024-08-01,41
C4,116,33,00:20:21,2024-08-01,50
D3,4,33,00:20:30,2024-08-01,3
B3,54,33,00:20:31,2024-08-01,27
D4,5,33,00:20:35,2024-08-01,3
D1,48,33,00:20:40,2024-08-01,24
B4,54,33,00:21:00,2024-08-01,27
A1,47,33,00:21:03,2024-08-01,24
D2,20,33,00:21:06,2024-08-01,10
C1,102,33,00:21:13,2024-08-01,50
D3,91,33,00:21:18,2024-08-01,46
A2,46,33,00:21:29,2024-08-01,23
B1,33,33,00:21:29,2024-08-01,17
B2,20,33,00:21:48,2024-08-01,10
A3,108,33,00:21:54,2024-08-01,50
B3,17,33,00:22:00,2024-08-01,9
C2,118,33,00:22:05,2024-08-01,50
D4,118,33,00:22:06,2024-08-01,50
B4,47,33,00:22:11,2024-08-01,24
B1,75,33,00:22:37,2024-08-01,38
A4,62,33,00:22:46,2024-08-01,31
C3,3,33,00:22:57,2024-08-01,13
D1,43,33,00:22:59,2024-08-01,22
C4,84,33,00:23:12,2024-08-01,42
B2,56,33,00:23:17,2024-08-01,28
A1,101,33,00:23:19,2024-08-01,50
D2,20,33,00:23:23,2024-08-01,10
D3,95,33,00:23:35,2024-08-01,48
B3,93,33,00:23:47,2024-08-01,47
C1,87,33,00:23:56,2024-08-01,44
A2,54,33,00:24:11,2024-08-01,27
D4,59,33,00:24:25,2024-08-01,39
B4,40,33,00:24:36,2024-08-01,20
A3,68,33,00:24:40,2024-08-01,34
C2,23,33,00:24:42,2024-08-01,21
B1,37,33,00:24:58,2024-08-01,19
C3,50,33,00:25:05,2024-08-01,25
D1,71,33,00:25:06,2024-08-01,36
A4,35,33,00:25:16,2024-08-01,18
B2,63,33,00:25:20,2024-08-01,32
C4,93,33,00:25:32,2024-08-01,47
A1,18,33,00:25:36,2024-08-01,10
D2,58,33,00:25:44,2024-08-01,29
A2,70,33,00:25:48,2024-08-01,35
B3,104,33,00:25:54,2024-08-01,50
D3,35,33,00:26:15,2024-08-01,18
C1,106,33,00:26:21,2024-08-01,50
A3,48,33,00:26:25,2024-08-01,24
D4,6,33,00:26:35,2024-08-01,3
D1,45,33,00:26:40,2024-08-01,23
B4,108,33,00:26:46,2024-08-01,50
A4,7,33,00:26:51,2024-08-01,4
A1,61,33,00:26:57,2024-08-01,31
D2,0,33,00:27:05,2024-08-01,3
D3,66,33,00:27:10,2024-08-01,33
C2,25,33,00:27:13,2024-08-01,13
C3,107,33,00:27:28,2024-08-01,50
A2,114,33,00:27:30,2024-08-01,50
B1,74,33,00:27:38,2024-08-01,37
D4,72,33,00:27:45,2024-08-01,36
B2,85,33,00:28:17,2024-08-01,43
C4,104,33,00:28:20,2024-08-01,50
A3,5,33,00:28:22,2024-08-01,3
D1,20,33,00:28:23,2024-08-01,10
A4,100,33,00:28:28,2024-08-01,50
D2,40,33,00:28:35,2024-08-01,20
D3,80,33,00:28:57,2024-08-01,40
B3,113,33,00:29:02,2024-08-01,50
C1,90,33,00:29:12,2024-08-01,45
A1,56,33,00:29:20,2024-08-01,28
D4,46,33,00:29:39,2024-08-01,23
A2,0,33,00:29:50,2024-08-01,7
B4,84,33,00:29:54,2024-08-01,46
A3,100,33,00:29:59,2024-08-01,50
C2,48,33,00:30:00,2024-08-01,24
D1,79,33,00:30:04,2024-08-01,40
C3,43,33,00:30:26,2024-08-01,25
B1,44,33,00:30:42,2024-08-01,22
D2,20,33,00:30:46,2024-08-01,10
A4,34,33,00:30:51,2024-08-01,17
C4,117,33,00:30:53,2024-08-01,50
D3,96,33,00:30:58,2024-08-01,48
B2,88,33,00:31:06,2024-08-01,44
A1,61,33,00:31:10,2024-08-01,31
A2,54,33,00:31:43,2024-08-01,27
C1,62,33,00:31:45,2024-08-01,31
D4,109,33,00:31:48,2024-08-01,50
B3,109,33,00:31:52,2024-08-01,50
A3,49,33,00:32:12,2024-08-01,25
C2,62,33,00:32:18,2024-08-01,31
A4,81,33,00:32:39,2024-08-01,41
D1,73,33,00:32:40,2024-08-01,37
B4,53,33,00:32:44,2024-08-01,27
C3,83,33,00:32:51,2024-08-01,42
B1,60,33,00:33:13,2024-08-01,30
D2,79,33,00:33:19,2024-08-01,40
A1,31,33,00:33:22,2024-08-01,16
C4,132,33,00:33:35,2024-08-01,50
A2,32,33,00:33:40,2024-08-01,16
B2,77,33,00:33:45,2024-08-01,39
A3,12,33,00:33:58,2024-08-01,6
D3,7,33,00:34:01,2024-08-01,4
A4,44,33,00:34:06,2024-08-01,22
D4,14,33,00:34:07,2024-08-01,12
D1,58,33,00:34:21,2024-08-01,29
