trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime,avg_last_3_num_cars_A1,avg_last_3_num_cars_B1,avg_last_3_num_cars_C1,avg_last_3_num_cars_D1,avg_last_3_num_cars_C2,avg_last_3_num_cars_D2,avg_last_3_num_cars_C3,avg_last_3_num_cars_D3,avg_last_3_num_cars_A2,avg_last_3_num_cars_D4,avg_last_3_num_cars_A3,avg_last_3_num_cars_C4,avg_last_3_num_cars_A4,avg_last_3_num_cars_B2,avg_last_3_num_cars_B3,avg_last_3_num_cars_B4
A2,2,33,04:18:50,2024-08-01,3,51.666666666666664,83.5,26.0,28.333333333333332,22.0,8.5,72.5,59.5,18.5,41.0,24.5,30.0,10.0,22.5,27.0,43.0
A3,76,33,04:18:55,2024-08-01,38,51.666666666666664,83.5,26.0,28.333333333333332,22.0,8.5,72.5,59.5,13.0,41.0,24.5,30.0,10.0,22.5,27.0,43.0
B4,26,33,04:19:10,2024-08-01,13,51.666666666666664,83.5,26.0,28.333333333333332,22.0,8.5,72.5,59.5,13.0,41.0,41.666666666666664,30.0,10.0,22.5,27.0,43.0
D2,49,33,04:19:15,2024-08-01,25,51.666666666666664,83.5,26.0,28.333333333333332,22.0,8.5,72.5,59.5,13.0,41.0,41.666666666666664,30.0,10.0,22.5,27.0,34.5
B1,49,33,04:19:25,2024-08-01,25,51.666666666666664,83.5,26.0,28.333333333333332,22.0,22.0,72.5,59.5,13.0,41.0,41.666666666666664,30.0,10.0,22.5,27.0,34.5
C2,17,33,04:19:26,2024-08-01,9,51.666666666666664,72.0,26.0,28.333333333333332,22.0,22.0,72.5,59.5,13.0,41.0,41.666666666666664,30.0,10.0,22.5,27.0,34.5
A4,14,33,04:19:35,2024-08-01,7,51.666666666666664,72.0,26.0,28.333333333333332,20.333333333333332,22.0,72.5,59.5,13.0,41.0,41.666666666666664,30.0,10.0,22.5,27.0,34.5
C3,35,33,04:19:37,2024-08-01,18,51.666666666666664,72.0,26.0,28.333333333333332,20.333333333333332,22.0,72.5,59.5,13.0,41.0,41.666666666666664,30.0,11.333333333333334,22.5,27.0,34.5
D3,99,33,04:19:42,2024-08-01,50,51.666666666666664,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,59.5,13.0,41.0,41.666666666666664,30.0,11.333333333333334,22.5,27.0,34.5
A1,115,33,04:19:44,2024-08-01,50,51.666666666666664,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,30.0,11.333333333333334,22.5,27.0,34.5
B2,20,33,04:19:52,2024-08-01,10,74.33333333333333,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,30.0,11.333333333333334,22.5,27.0,34.5
C4,51,33,04:19:57,2024-08-01,26,74.33333333333333,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,30.0,11.333333333333334,21.666666666666668,27.0,34.5
B3,14,33,04:20:04,2024-08-01,3,74.33333333333333,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,37.0,11.333333333333334,21.666666666666668,27.0,34.5
B4,64,33,04:20:09,2024-08-01,32,74.33333333333333,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,34.5
C1,49,33,04:20:25,2024-08-01,25,74.33333333333333,72.0,26.0,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
D4,43,33,04:20:34,2024-08-01,22,74.33333333333333,72.0,42.333333333333336,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.0,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
A2,68,33,04:20:36,2024-08-01,34,74.33333333333333,72.0,42.333333333333336,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,13.0,41.666666666666664,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
B1,95,33,04:20:43,2024-08-01,48,74.33333333333333,72.0,42.333333333333336,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
C2,108,33,04:20:53,2024-08-01,50,74.33333333333333,71.66666666666667,42.333333333333336,28.333333333333332,20.333333333333332,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
D1,102,33,04:20:58,2024-08-01,50,74.33333333333333,71.66666666666667,42.333333333333336,28.333333333333332,54.666666666666664,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
A3,41,33,04:21:12,2024-08-01,21,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,41.666666666666664,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
B2,37,33,04:21:34,2024-08-01,19,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,55.0,37.0,11.333333333333334,21.666666666666668,22.666666666666668,44.333333333333336
A4,82,33,04:21:36,2024-08-01,41,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,55.0,37.0,11.333333333333334,34.0,22.666666666666668,44.333333333333336
C3,2,33,04:21:45,2024-08-01,3,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,60.0,72.66666666666667,27.666666666666668,41.666666666666664,55.0,37.0,38.666666666666664,34.0,22.666666666666668,44.333333333333336
C4,55,33,04:21:50,2024-08-01,28,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,40.666666666666664,72.66666666666667,27.666666666666668,41.666666666666664,55.0,37.0,38.666666666666664,34.0,22.666666666666668,44.333333333333336
D2,51,33,04:21:50,2024-08-01,26,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,22.0,40.666666666666664,72.66666666666667,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,22.666666666666668,44.333333333333336
B3,98,33,04:21:55,2024-08-01,49,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,39.0,40.666666666666664,72.66666666666667,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,22.666666666666668,44.333333333333336
D3,8,33,04:22:18,2024-08-01,4,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,39.0,40.666666666666664,72.66666666666667,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,55.0,44.333333333333336
A1,91,33,04:22:19,2024-08-01,50,74.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,39.0,40.666666666666664,59.666666666666664,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,55.0,44.333333333333336
C1,93,33,04:22:20,2024-08-01,47,95.33333333333333,71.66666666666667,42.333333333333336,62.333333333333336,54.666666666666664,39.0,40.666666666666664,59.666666666666664,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,55.0,44.333333333333336
D4,110,33,04:22:25,2024-08-01,50,95.33333333333333,71.66666666666667,73.33333333333333,62.333333333333336,54.666666666666664,39.0,40.666666666666664,59.666666666666664,27.666666666666668,41.666666666666664,55.0,55.0,38.666666666666664,34.0,55.0,44.333333333333336
B4,101,33,04:22:46,2024-08-01,50,95.33333333333333,71.66666666666667,73.33333333333333,62.333333333333336,54.666666666666664,39.0,40.666666666666664,59.666666666666664,27.666666666666668,58.0,55.0,55.0,38.666666666666664,34.0,55.0,44.333333333333336
C2,37,33,04:23:09,2024-08-01,23,95.33333333333333,71.66666666666667,73.33333333333333,62.333333333333336,54.666666666666664,39.0,40.666666666666664,59.666666666666664,27.666666666666668,58.0,55.0,55.0,38.666666666666664,34.0,55.0,63.666666666666664
A2,22,33,04:23:11,2024-08-01,11,95.33333333333333,71.66666666666667,73.33333333333333,62.333333333333336,54.0,39.0,40.666666666666664,59.666666666666664,27.666666666666668,58.0,55.0,55.0,38.666666666666664,34.0,55.0,63.666666666666664
D1,108,33,04:23:17,2024-08-01,50,95.33333333333333,71.66666666666667,73.33333333333333,62.333333333333336,54.0,39.0,40.666666666666664,59.666666666666664,30.666666666666668,58.0,55.0,55.0,38.666666666666664,34.0,55.0,63.666666666666664
A3,35,33,04:23:24,2024-08-01,18,95.33333333333333,71.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,40.666666666666664,59.666666666666664,30.666666666666668,58.0,55.0,55.0,38.666666666666664,34.0,55.0,63.666666666666664
C3,45,33,04:23:34,2024-08-01,23,95.33333333333333,71.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,40.666666666666664,59.666666666666664,30.666666666666668,58.0,50.666666666666664,55.0,38.666666666666664,34.0,55.0,63.666666666666664
B1,104,33,04:23:38,2024-08-01,50,95.33333333333333,71.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,55.0,38.666666666666664,34.0,55.0,63.666666666666664
A4,20,33,04:23:44,2024-08-01,10,95.33333333333333,82.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,55.0,38.666666666666664,34.0,55.0,63.666666666666664
A1,55,33,04:23:56,2024-08-01,31,95.33333333333333,82.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,55.0,38.666666666666664,34.0,55.0,63.666666666666664
C4,101,33,04:23:59,2024-08-01,50,87.0,82.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,55.0,38.666666666666664,34.0,55.0,63.666666666666664
D2,88,33,04:24:09,2024-08-01,44,87.0,82.66666666666667,73.33333333333333,98.33333333333333,54.0,39.0,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,69.0,38.666666666666664,34.0,55.0,63.666666666666664
A2,76,33,04:24:29,2024-08-01,38,87.0,82.66666666666667,73.33333333333333,98.33333333333333,54.0,62.666666666666664,27.333333333333332,59.666666666666664,30.666666666666668,58.0,50.666666666666664,69.0,38.666666666666664,34.0,55.0,63.666666666666664
B2,52,33,04:24:30,2024-08-01,26,87.0,82.66666666666667,73.33333333333333,98.33333333333333,54.0,62.666666666666664,27.333333333333332,59.666666666666664,55.333333333333336,58.0,50.666666666666664,69.0,38.666666666666664,34.0,55.0,63.666666666666664
